"","id","X","Y","Z","Spit","Level","Code"
"1119","H18-1298",119.222999572754,126.171997070312,24.628999710083,"7","4C","LITHIC"
"1120","H18-1299",119.231002807617,126.31600189209,24.5939998626709,"7","4C","LITHIC"
"1121","H18-1301",119.089996337891,126.378997802734,24.5559997558594,"7","4C","LITHIC"
"1122","H18-1302",119.329002380371,126.356002807617,24.6200008392334,"7","4C","LITHIC"
"1123","H18-1303",119.283996582031,126.231002807617,24.5990009307861,"7","4C","LITHIC"
"1124","H18-1304",119.271003723145,126.091003417969,24.6200008392334,"7","4C","LITHIC"
"1125","H18-1305",119.333000183105,126.495002746582,24.5960006713867,"7","4C","LITHIC"
"1126","H18-1306",119.362998962402,126.28099822998,24.6240005493164,"7","4C","LITHIC"
"1127","H18-1307",119.36499786377,126.279998779297,24.6229991912842,"7","4C","LITHIC"
"1128","H18-1308",119.273002624512,126.097999572754,24.6079998016357,"7","4C","LITHIC"
"1129","H18-1309",119.378997802734,126.198997497559,24.6189994812012,"7","4C","LITHIC"
"1130","H18-1310",119.430000305176,126.245002746582,24.6380004882812,"7","4C","LITHIC"
"1131","H18-1311",119.361999511719,126.073997497559,24.6299991607666,"7","4C","LITHIC"
"1132","H18-1312",119.458000183105,126.254997253418,24.636999130249,"7","4C","LITHIC"
"1133","H18-1313",119.468002319336,126.325996398926,24.5820007324219,"7","4C","LITHIC"
"1134","H18-1315",119.087997436523,126.564002990723,24.5820007324219,"7","4C","LITHIC"
"1135","H18-1316",119.111000061035,126.577003479004,24.5939998626709,"7","4","LITHIC"
"1136","H18-1317",119.125,126.572998046875,24.5930004119873,"7","4","LITHIC"
"1137","H18-1318",119.168998718262,126.523002624512,24.5970001220703,"7","4","LITHIC"
"1138","H18-1319",119.258003234863,126.582000732422,24.6180000305176,"7","4","LITHIC"
"1139","H18-1320",119.234001159668,126.522003173828,24.5960006713867,"7","4","LITHIC"
"1140","H18-1321",119.166000366211,126.713996887207,24.5979995727539,"7","4","LITHIC"
"1141","H18-1322",119.181999206543,126.724998474121,24.6119995117188,"7","4","LITHIC"
"1142","H18-1323",119.332000732422,126.581001281738,24.6299991607666,"7","4","LITHIC"
"1143","H18-1324",119.206001281738,126.697998046875,24.613000869751,"7","4","LITHIC"
"1144","H18-1325",119.029998779297,126.976997375488,24.5830001831055,"7","4","LITHIC"
"1145","H18-1326",119.196998596191,126.873001098633,24.6110000610352,"7","4","LITHIC"
"1146","H18-1328",119.314002990723,126.69100189209,24.6189994812012,"7","4","LITHIC"
"1147","H18-1329",119.310997009277,126.650001525879,24.613000869751,"7","4","LITHIC"
"1148","H18-1330",119.497001647949,126.5,24.6219997406006,"7","4","LITHIC"
"1149","H18-1331",119.422996520996,126.498001098633,24.6009998321533,"7","4","LITHIC"
"1150","H18-1332",119.383003234863,126.424003601074,24.6000003814697,"7","4","LITHIC"
"1151","H18-1333",119.253997802734,126.505996704102,24.5849990844727,"7","4C","LITHIC"
"1152","H18-1334",119.193000793457,126.512001037598,24.5849990844727,"7","4C","LITHIC"
"1153","H18-1335",119.274002075195,126.588996887207,24.5900001525879,"7","4","LITHIC"
"1154","H18-1336",119.262001037598,126.818000793457,24.5879993438721,"7","4","LITHIC"
"1155","H18-1337",119.314002990723,126.697998046875,24.5960006713867,"7","4","LITHIC"
"1156","H18-1338",119.371002197266,126.696998596191,24.6070003509521,"7","4","LITHIC"
"1157","H18-1339",119.213996887207,126.611999511719,24.5779991149902,"7","4","LITHIC"
"1158","H18-1340",119.362998962402,126.871002197266,24.621000289917,"7","4","LITHIC"
"1159","H18-1342",119.309997558594,126.984001159668,24.6140003204346,"7","4","LITHIC"
"1160","H18-1343",119.496002197266,126.786003112793,24.617000579834,"7","4","LITHIC"
"1161","H18-1345",119.468002319336,126.498001098633,24.5960006713867,"7","4","LITHIC"
"1162","H18-1346",119.471000671387,126.302001953125,24.6299991607666,"7","4","LITHIC"
"1163","H18-1347",119.508003234863,126.154998779297,24.6529998779297,"7","4","LITHIC"
"1164","H18-1348",119.55899810791,126.328002929688,24.6469993591309,"7","4","LITHIC"
"1165","H18-1349",119.549003601074,126.194000244141,24.6550006866455,"7","4","LITHIC"
"1166","H18-1350",119.569999694824,126.188003540039,24.6459999084473,"7","4","LITHIC"
"1167","H18-1351",119.55899810791,126.244003295898,24.6340007781982,"7","4","LITHIC"
"1168","H18-1352",119.620002746582,126.455001831055,24.6480007171631,"7","4","LITHIC"
"1169","H18-1353",119.626998901367,126.299003601074,24.636999130249,"7","4","LITHIC"
"1170","H18-1354",119.589996337891,126.18399810791,24.6490001678467,"7","4","LITHIC"
"1171","H18-1355",119.587997436523,126.147003173828,24.6599998474121,"7","4","LITHIC"
"1172","H18-1356",119.627998352051,126.28099822998,24.6380004882812,"7","4","LITHIC"
"1173","H18-1357",119.500999450684,126.477996826172,24.5869998931885,"7","4C","LITHIC"
"1174","H18-1358",119.462997436523,126.526000976562,24.6009998321533,"7","4","LITHIC"
"1175","H18-1359",119.642997741699,126.263000488281,24.6310005187988,"7","4","LITHIC"
"1176","H18-1360",119.63500213623,126.245002746582,24.6319999694824,"7","4","LITHIC"
"1177","H18-1361",119.554000854492,126.051002502441,24.6690006256104,"7","4","LITHIC"
"1178","H18-1362",119.728996276855,126.327003479004,24.6650009155273,"7","4","LITHIC"
"1179","H18-1363",119.764999389648,126.305999755859,24.6599998474121,"7","4","LITHIC"
"1180","H18-1364",119.43399810791,126.054000854492,24.6790008544922,"7","4","LITHIC"
"1181","H18-1365",119.72200012207,126.122001647949,24.6620006561279,"7","4","LITHIC"
"1182","H18-1366",119.78099822998,126.143997192383,24.6609992980957,"7","4","LITHIC"
"1183","H18-1367",119.785003662109,126.16300201416,24.6679992675781,"7","4","LITHIC"
"1184","H18-1368",119.74299621582,126.147003173828,24.6550006866455,"7","4","LITHIC"
"1185","H18-1369",119.790000915527,126.366996765137,24.6599998474121,"7","4","LITHIC"
"1186","H18-1370",119.799003601074,126.277000427246,24.6520004272461,"7","4","LITHIC"
"1187","H18-1371",119.813003540039,126.286003112793,24.6760005950928,"7","4","LITHIC"
"1188","H18-1372",119.764999389648,126.196998596191,24.6529998779297,"7","4","LITHIC"
"1189","H18-1374",119.772003173828,126.325996398926,24.6319999694824,"7","4","LITHIC"
"1190","H18-1375",119.797996520996,126.328002929688,24.6599998474121,"7","4","LITHIC"
"1191","H18-1376",119.807998657227,126.943000793457,24.6569995880127,"7","4","LITHIC"
"1192","H18-1377",119.755996704102,126.888999938965,24.6539993286133,"7","4","LITHIC"
"1193","H18-1378",119.765998840332,126.842002868652,24.632999420166,"7","4","LITHIC"
"1194","H18-1379",119.73999786377,126.831001281738,24.6299991607666,"7","4","LITHIC"
"1195","H18-1380",119.648002624512,126.767997741699,24.6450004577637,"7","4","LITHIC"
"1196","H18-1381",119.552001953125,126.704002380371,24.6469993591309,"7","4","LITHIC"
"1197","H18-1382",119.749000549316,126.626998901367,24.6639995574951,"7","4","LITHIC"
"1198","H18-1383",119.853996276855,126.704002380371,24.6620006561279,"7","4","LITHIC"
"1199","H18-1384",119.738998413086,126.642997741699,24.6450004577637,"7","4","LITHIC"
"1200","H18-1385",119.623001098633,126.765998840332,24.6149997711182,"7","4","LITHIC"
"1201","H18-1386",119.542999267578,126.68399810791,24.6189994812012,"7","4","LITHIC"
"1202","H18-1387",119.596000671387,126.636001586914,24.6450004577637,"7","4","LITHIC"
"1203","H18-1388",119.553001403809,126.598999023438,24.6229991912842,"7","4","LITHIC"
"1204","H18-1389",119.783996582031,126.595001220703,24.6410007476807,"7","4","LITHIC"
"1205","H18-1390",119.637001037598,126.499000549316,24.6280002593994,"7","4","LITHIC"
"1206","H18-1391",119.748001098633,126.426002502441,24.6429996490479,"7","4","LITHIC"
"1207","H18-1392",119.773002624512,126.402000427246,24.6569995880127,"7","4","LITHIC"
"1208","H18-1394",119.352996826172,126.579002380371,24.6040000915527,"7","4","LITHIC"
"1209","H18-1395",119.763000488281,126.333000183105,24.6229991912842,"7","4","LITHIC"
"1210","H18-1396",119.81600189209,126.138000488281,24.6590003967285,"7","4","LITHIC"
"1211","H18-1398",119.252998352051,126.953002929688,24.5590000152588,"7","4","LITHIC"
"1212","H18-1399",119.365997314453,126.939002990723,24.5729999542236,"8","4C","LITHIC"
"1213","H18-1400",119.430999755859,126.983001708984,24.6040000915527,"8","4C","LITHIC"
"1214","H18-1401",119.032997131348,126.81600189209,24.5550003051758,"8","4C","LITHIC"
"1215","H18-1402",119.052001953125,126.950996398926,24.5459995269775,"8","4C","LITHIC"
"1216","H18-1404",119.01000213623,126.517997741699,24.5289993286133,"8","4C","LITHIC"
"1217","H18-1405",119.677001953125,126.99299621582,24.57200050354,"8","4C","LITHIC"
"1218","H18-1406",119.708000183105,126.94100189209,24.6259994506836,"8","4C","LITHIC"
"1219","H18-1407",119.84700012207,126.967002868652,24.576000213623,"8","4C","LITHIC"
"1220","H18-1408",119.843002319336,126.952003479004,24.5809993743896,"9","4C","LITHIC"
"1221","H18-1409",119.771003723145,126.776000976562,24.617000579834,"9","4C","LITHIC"
"1222","H18-1410",119.782997131348,126.841003417969,24.5820007324219,"9","4C","LITHIC"
"1223","H18-1411",119.944999694824,126.952003479004,24.5809993743896,"9","4C","LITHIC"
"1224","H18-1412",119.917999267578,126.833000183105,24.6389999389648,"9","4C","LITHIC"
"1225","H18-1413",119.654998779297,126.694000244141,24.5739994049072,"9","4C","LITHIC"
"1226","H18-1414",119.815002441406,126.664001464844,24.625,"9","4C","LITHIC"
"1227","H18-1415",119.856002807617,126.749000549316,24.6079998016357,"9","4C","LITHIC"
"1228","H18-1416",119.790000915527,126.685997009277,24.6019992828369,"9","4C","LITHIC"
"1229","H18-1417",119.767997741699,126.640998840332,24.617000579834,"9","4C","LITHIC"
"1230","H18-1418",119.264999389648,126.956001281738,24.5440006256104,"9","4C","LITHIC"
"1231","H18-1419",119.289001464844,126.925003051758,24.5559997558594,"9","4C","LITHIC"
"1232","H18-1420",119.379997253418,126.80899810791,24.5540008544922,"9","4C","LITHIC"
"1233","H18-1422",119.335998535156,126.790000915527,24.57200050354,"9","4C","LITHIC"
"1234","H18-1424",119.509002685547,126.670997619629,24.6000003814697,"9","4C","LITHIC"
"1235","H18-1425",119.348999023438,126.823997497559,24.5510005950928,"9","4C","LITHIC"
"1236","H18-1426",119.319000244141,126.674003601074,24.5830001831055,"9","4C","LITHIC"
"1237","H18-1427",119.286003112793,126.794998168945,24.5230007171631,"9","4C","LITHIC"
"1238","H18-1428",119.19100189209,126.787002563477,24.5389995574951,"9","4C","LITHIC"
"1239","H18-1429",119.129997253418,126.777000427246,24.5429992675781,"9","4C","LITHIC"
"1240","H18-1430",119.301002502441,126.665000915527,24.5639991760254,"9","4C","LITHIC"
"1241","H18-1431",119.523002624512,126.666999816895,24.5809993743896,"9","4C","LITHIC"
"1242","H18-1432",119.166000366211,126.639999389648,24.5499992370605,"9","4C","LITHIC"
"1243","H18-1433",119.321998596191,126.583999633789,24.5750007629395,"9","4C","LITHIC"
"1244","H18-1434",119.549003601074,126.343002319336,24.6089992523193,"9","4C","LITHIC"
"1245","H18-1435",119.113998413086,126.591003417969,24.5750007629395,"9","4C","LITHIC"
"1246","H18-1436",119.195999145508,126.630996704102,24.5380001068115,"9","4C","LITHIC"
"1247","H18-1437",119.464996337891,126.55899810791,24.5769996643066,"9","4C","LITHIC"
"1248","H18-1438",119.276000976562,126.373001098633,24.5690002441406,"9","4C","LITHIC"
"1249","H18-1439",119.26000213623,126.455001831055,24.5499992370605,"9","4C","LITHIC"
"1250","H18-1440",119.126998901367,126.577003479004,24.5769996643066,"9","4C","LITHIC"
"1251","H18-1442",119.431999206543,126.486000061035,24.5650005340576,"9","4C","LITHIC"
"1252","H18-1443",119.516998291016,126.551002502441,24.5699996948242,"9","4C","LITHIC"
"1253","H18-1444",119.690002441406,126.622001647949,24.5849990844727,"9","4C","LITHIC"
"1254","H18-1445",119.666000366211,126.524002075195,24.6159992218018,"9","4C","LITHIC"
"1255","H18-1446",119.504997253418,126.598999023438,24.5380001068115,"9","4C","LITHIC"
"1256","H18-1447",119.351997375488,126.533996582031,24.5310001373291,"9","4C","LITHIC"
"1257","H18-1448",119.518997192383,126.59400177002,24.5429992675781,"9","4C","LITHIC"
"1258","H18-1449",119.593002319336,126.56600189209,24.5709991455078,"9","4C","LITHIC"
"1259","H18-1450",119.679000854492,126.55899810791,24.5699996948242,"9","4C","LITHIC"
"1260","H18-1451",119.755996704102,126.641998291016,24.57200050354,"9","4C","LITHIC"
"1261","H18-1452",119.817001342773,126.647003173828,24.5830001831055,"9","4C","LITHIC"
"1262","H18-1453",119.671997070312,126.653999328613,24.5620002746582,"9","4C","LITHIC"
"1263","H18-1454",119.730003356934,126.509002685547,24.6040000915527,"9","4C","LITHIC"
"1264","H18-1455",119.680999755859,126.522003173828,24.5659999847412,"9","4C","LITHIC"
"1265","H18-1456",119.606002807617,126.477996826172,24.5540008544922,"9","4C","LITHIC"
"1266","H18-1457",119.61799621582,126.41300201416,24.5970001220703,"9","4C","LITHIC"
"1267","H18-1460",119.013000488281,126.328002929688,24.5440006256104,"9","4C","LITHIC"
"1268","H18-1461",119.107002258301,126.290000915527,24.5380001068115,"9","4C","LITHIC"
"1269","H18-1462",119.087997436523,126.141998291016,24.5559997558594,"9","4C","LITHIC"
"1270","H18-1463",119.029998779297,126.146003723145,24.5340003967285,"9","4C","LITHIC"
"1271","H18-1464",119.182998657227,126.214996337891,24.55299949646,"9","4C","LITHIC"
"1272","H18-1465",119.195999145508,126.197998046875,24.5739994049072,"9","4C","LITHIC"
"1273","H18-1466",119.320999145508,126.36499786377,24.548999786377,"9","4C","LITHIC"
"1274","H18-1467",119.261001586914,126.276000976562,24.5400009155273,"9","4C","LITHIC"
"1275","H18-1468",119.290000915527,126.18399810791,24.5879993438721,"9","4C","LITHIC"
"1276","H18-1469",119.165000915527,126.106002807617,24.5559997558594,"9","4C","LITHIC"
"1277","H18-1470",119.281997680664,126.170997619629,24.5659999847412,"9","4C","LITHIC"
"1278","H18-1471",119.262001037598,126.063003540039,24.5949993133545,"9","4C","LITHIC"
"1279","H18-1472",119.458999633789,126.361999511719,24.5610008239746,"9","4C","LITHIC"
"1280","H18-1473",119.318000793457,126.199996948242,24.556999206543,"9","4C","LITHIC"
"1281","H18-1474",119.38200378418,126.16300201416,24.6079998016357,"9","4C","LITHIC"
"1282","H18-1476",119.478996276855,126.34400177002,24.57200050354,"9","4C","LITHIC"
"1283","H18-1477",119.75700378418,126.415000915527,24.5949993133545,"9","4C","LITHIC"
"1284","H18-1478",119.857002258301,126.551002502441,24.6019992828369,"9","4C","LITHIC"
"1285","H18-1479",119.654998779297,126.291000366211,24.5809993743896,"9","4C","LITHIC"
"1286","H18-1480",119.470001220703,126.286003112793,24.5820007324219,"9","4C","LITHIC"
"1287","H18-1481",119.453002929688,126.332000732422,24.55299949646,"9","4C","LITHIC"
"1288","H18-1482",119.84400177002,126.543998718262,24.5669994354248,"9","4C","LITHIC"
"1289","H18-1483",119.793998718262,126.362998962402,24.5939998626709,"9","4C","LITHIC"
"1290","H18-1484",119.404998779297,126.235000610352,24.5520000457764,"9","4C","LITHIC"
"1291","H18-1485",119.412002563477,126.151000976562,24.5860004425049,"9","4C","LITHIC"
"1292","H18-1486",119.5,126.236999511719,24.5699996948242,"9","4C","LITHIC"
