"","id","X","Y","Z","Spit","Level","Code","Sitio","Area","Lot","Materia","Classe","Fragmentacao_Artefacto","Cortex","Peso","Espessura","Largura","Comprimento","Alteracao","Fogo","N_Esquirolas","Tipo_Retocado","Notas"
"801","H19-3695",119.123001098633,127.36799621582,23.9850006103516,"4","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,2,NA,NA
"802","H19-3695",119.123001098633,127.36799621582,23.9850006103516,"4","5","BUCKET","VB",TRUE,"LOT-317","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,1,NA,NA
"803","H19-3703",119.241996765137,127.63500213623,24.0130004882812,"4","5","LITHIC","VB",TRUE,"LOT-316","Grauvaque","Lasca",NA,"0%",21,15.79,39.17,36.81,"Nenhuma",NA,NA,NA,NA
"804","H19-3707",119.625999450684,127.734001159668,24.0170001983643,"4","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,3,NA,NA
"805","H19-3713",119.333000183105,127.86499786377,23.9930000305176,"5","5","LITHIC","VB",TRUE,"LOT-316","Grauvaque","Fragmento",NA,NA,9,0,0,0,"Nenhuma",NA,NA,NA,NA
"806","H19-3715",119.149002075195,127.835998535156,23.9780006408691,"5","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,5,NA,NA
"807","H19-3715",119.149002075195,127.835998535156,23.9780006408691,"5","5","BUCKET","VB",TRUE,"LOT-317","Silex","Esquírola",NA,NA,0,0,0,0,"Nenhuma",NA,1,NA,NA
"808","H19-3716",119.189002990723,127.509002685547,24.0200004577637,"5","5","LITHIC","VB",TRUE,"LOT-316","Silex","Produto retocado",NA,"0%",6,9.21,22.15,30.59,"Nenhuma",NA,NA,"Lasca retocada",NA
"809","H19-3717",119.513000488281,127.750999450684,24.0049991607666,"5","5","LITHIC","VB",TRUE,"LOT-316","Grauvaque","Fragmento",NA,NA,2,0,0,0,"Nenhuma",NA,NA,NA,NA
"810","H19-3720",119.321998596191,127.5,23.9860000610352,"5","5","LITHIC","VB",TRUE,"LOT-316","Grauvaque","Fragmento",NA,NA,118,0,0,0,"Nenhuma",NA,NA,NA,NA
"811","H19-3721",119.387001037598,127.774002075195,23.9899997711182,"5","5","BUCKET","VB",TRUE,"LOT-317","Grauvaque","Fragmento",NA,NA,2.3,0,0,0,"Nenhuma",NA,NA,NA,NA
